40,Color [A=255, R=255, G=206, B=31]
120,Color [A=255, R=255, G=255, B=255]
160,Color [A=255, R=0, G=0, B=0]
520,Color [A=255, R=255, G=255, B=255]
560,Color [A=255, R=0, G=0, B=0]
7720,Color [A=255, R=255, G=255, B=255]
7760,Color [A=255, R=0, G=0, B=0]
27200,Color [A=255, R=255, G=255, B=255]
27240,Color [A=255, R=0, G=0, B=0]
38480,Color [A=255, R=255, G=255, B=255]
38520,Color [A=255, R=0, G=0, B=0]
58760,Color [A=255, R=255, G=255, B=255]
58800,Color [A=255, R=0, G=0, B=0]
66000,Color [A=255, R=255, G=255, B=255]
66040,Color [A=255, R=0, G=0, B=0]
84920,Color [A=255, R=255, G=255, B=255]
84960,Color [A=255, R=0, G=0, B=0]
95480,Color [A=255, R=255, G=255, B=255]
95520,Color [A=255, R=0, G=0, B=0]
105000,Color [A=255, R=255, G=255, B=255]
105040,Color [A=255, R=0, G=0, B=0]
108960,Color [A=255, R=255, G=255, B=255]
109000,Color [A=255, R=0, G=0, B=0]
115920,Color [A=255, R=255, G=255, B=255]
115960,Color [A=255, R=0, G=0, B=0]
124280,Color [A=255, R=255, G=255, B=255]
124320,Color [A=255, R=0, G=0, B=0]
131960,Color [A=255, R=255, G=255, B=255]
132000,Color [A=255, R=0, G=0, B=0]
142040,Color [A=255, R=255, G=255, B=255]
142080,Color [A=255, R=0, G=0, B=0]
143080,Color [A=255, R=255, G=255, B=255]
143120,Color [A=255, R=0, G=0, B=0]
144880,Color [A=255, R=255, G=255, B=255]
144920,Color [A=255, R=0, G=0, B=0]
147320,Color [A=255, R=255, G=255, B=255]
147360,Color [A=255, R=0, G=0, B=0]
154560,Color [A=255, R=255, G=255, B=255]
154600,Color [A=255, R=0, G=0, B=0]
166120,Color [A=255, R=255, G=255, B=255]
166160,Color [A=255, R=0, G=0, B=0]
167160,Color [A=255, R=255, G=255, B=255]
167200,Color [A=255, R=0, G=0, B=0]
171200,Color [A=255, R=255, G=255, B=255]
171240,Color [A=255, R=0, G=0, B=0]
173880,Color [A=255, R=255, G=255, B=255]
173920,Color [A=255, R=0, G=0, B=0]
179680,Color [A=255, R=255, G=255, B=255]
179720,Color [A=255, R=0, G=0, B=0]
182120,Color [A=255, R=255, G=255, B=255]
182160,Color [A=255, R=0, G=0, B=0]
202160,Color [A=255, R=255, G=255, B=255]
202200,Color [A=255, R=0, G=0, B=0]
209960,Color [A=255, R=255, G=255, B=255]
210000,Color [A=255, R=0, G=0, B=0]
215680,Color [A=255, R=255, G=255, B=255]
215720,Color [A=255, R=0, G=0, B=0]
229080,Color [A=255, R=255, G=255, B=255]
229120,Color [A=255, R=0, G=0, B=0]
237920,Color [A=255, R=255, G=255, B=255]
237960,Color [A=255, R=0, G=0, B=0]
241480,Color [A=255, R=255, G=255, B=255]
241520,Color [A=255, R=0, G=0, B=0]
265000,Color [A=255, R=255, G=255, B=255]
265040,Color [A=255, R=0, G=0, B=0]
269560,Color [A=255, R=255, G=255, B=255]
269600,Color [A=255, R=0, G=0, B=0]
284560,Color [A=255, R=255, G=255, B=255]
284600,Color [A=255, R=0, G=0, B=0]
293360,Color [A=255, R=255, G=255, B=255]
293400,Color [A=255, R=0, G=0, B=0]
294800,Color [A=255, R=255, G=255, B=255]
294840,Color [A=255, R=0, G=0, B=0]
307760,Color [A=255, R=255, G=255, B=255]
307800,Color [A=255, R=0, G=0, B=0]
314320,Color [A=255, R=255, G=255, B=255]
314360,Color [A=255, R=0, G=0, B=0]
379880,Color [A=255, R=255, G=255, B=255]
